               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.028217,            0.049496,            0.012845,             0.93726,             0.84405,             0.92412,             0.65995,            0.023663,            0.026435,            0.010822,            0.003961,            0.003961,            0.003961
                  63,            0.026375,            0.051037,            0.013897,             0.97114,             0.83406,             0.92551,              0.6498,            0.023261,            0.026794,            0.010703,            0.003862,            0.003862,            0.003862
                  64,            0.026356,            0.048236,            0.012559,             0.97526,             0.83002,              0.9297,             0.65173,            0.021097,            0.025583,            0.010661,            0.003763,            0.003763,            0.003763
                  65,            0.027311,            0.043314,            0.013957,              0.9821,             0.82926,             0.94152,             0.58789,            0.028814,            0.028928,            0.010464,            0.003664,            0.003664,            0.003664
                  66,            0.026326,            0.050382,             0.01303,             0.98438,             0.83241,             0.92791,             0.73688,            0.023019,            0.026698,            0.010359,            0.003565,            0.003565,            0.003565
                  67,             0.02673,            0.049593,            0.014694,              0.9828,             0.83439,             0.92497,             0.63872,            0.023444,             0.02639,            0.010238,            0.003466,            0.003466,            0.003466
                  68,            0.025401,             0.04378,            0.013435,             0.98311,             0.83537,             0.92494,             0.70929,            0.019975,            0.024639,             0.01021,            0.003367,            0.003367,            0.003367
                  69,            0.022538,              0.0458,            0.013338,             0.98003,             0.83724,             0.92299,             0.68753,            0.022158,            0.025815,            0.010176,            0.003268,            0.003268,            0.003268
                  70,            0.024691,              0.0433,            0.013007,             0.97936,             0.83813,             0.91916,             0.69913,            0.022079,            0.025951,            0.010162,            0.003169,            0.003169,            0.003169
                  71,            0.024373,            0.048344,            0.012347,             0.98139,             0.83991,             0.92511,             0.72993,            0.019353,            0.024796,            0.010122,             0.00307,             0.00307,             0.00307
                  72,            0.023349,             0.04644,            0.012762,             0.98028,              0.8397,             0.92854,             0.66784,            0.019805,             0.02467,            0.010016,            0.002971,            0.002971,            0.002971
                  73,            0.022372,            0.047703,             0.01277,             0.92192,             0.85629,             0.94106,             0.61994,            0.025161,            0.027248,            0.009795,            0.002872,            0.002872,            0.002872
                  74,            0.024139,            0.046622,            0.011812,              0.9779,             0.85161,             0.95396,             0.74792,            0.019763,            0.025447,           0.0095787,            0.002773,            0.002773,            0.002773
                  75,            0.022307,            0.044273,            0.012047,             0.97776,             0.85227,             0.95911,             0.75019,            0.019991,            0.025699,           0.0094345,            0.002674,            0.002674,            0.002674
                  76,            0.021863,            0.049232,             0.01115,             0.91409,             0.90713,              0.9615,             0.77109,            0.016811,            0.023974,           0.0093624,            0.002575,            0.002575,            0.002575
                  77,            0.020611,             0.04402,            0.011538,             0.97793,             0.85304,             0.95858,             0.70591,            0.021379,            0.026425,           0.0092377,            0.002476,            0.002476,            0.002476
                  78,            0.022216,            0.045211,             0.01041,             0.97933,             0.85325,             0.95467,             0.77164,            0.018965,            0.024872,           0.0090969,            0.002377,            0.002377,            0.002377
                  79,            0.021091,            0.040917,            0.011422,             0.98256,             0.87294,             0.95922,             0.77267,            0.019067,            0.024776,           0.0089539,            0.002278,            0.002278,            0.002278
                  80,            0.022477,            0.045058,            0.011269,             0.98262,             0.87286,             0.95474,             0.73558,            0.017919,            0.023898,           0.0089012,            0.002179,            0.002179,            0.002179
                  81,            0.021035,            0.047243,            0.012079,             0.93953,             0.91652,             0.95973,             0.75326,            0.020025,            0.025114,            0.008737,             0.00208,             0.00208,             0.00208
                  82,            0.021053,            0.042815,            0.011768,             0.98141,              0.8831,             0.95697,             0.75207,             0.02015,             0.02528,            0.008602,            0.001981,            0.001981,            0.001981
                  83,            0.021949,            0.045004,            0.012405,             0.98419,              0.8827,             0.95198,             0.71775,            0.018293,            0.024407,           0.0084784,            0.001882,            0.001882,            0.001882
                  84,            0.020171,            0.042471,           0.0099472,             0.98035,              0.8864,              0.9482,             0.76457,            0.016787,            0.023928,           0.0084217,            0.001783,            0.001783,            0.001783
                  85,            0.019785,            0.048569,             0.01062,             0.97824,             0.89024,             0.94794,              0.7141,             0.01907,            0.024962,           0.0083136,            0.001684,            0.001684,            0.001684
                  86,            0.019564,            0.046056,            0.010263,             0.97896,             0.89744,             0.94817,             0.72211,             0.01801,            0.024549,           0.0082712,            0.001585,            0.001585,            0.001585
                  87,            0.019608,             0.04011,            0.009644,              0.9774,             0.89572,             0.94575,             0.73507,            0.017711,            0.024301,           0.0081768,            0.001486,            0.001486,            0.001486
                  88,            0.019528,            0.041204,            0.010347,             0.98005,              0.9029,             0.94763,             0.76914,            0.016409,            0.023913,           0.0081493,            0.001387,            0.001387,            0.001387
                  89,            0.018274,            0.043571,            0.011439,             0.97778,             0.90378,              0.9472,             0.69547,            0.017802,            0.024135,           0.0080704,            0.001288,            0.001288,            0.001288
                  90,            0.019566,            0.042234,            0.010981,             0.97526,             0.90505,             0.94763,             0.76787,            0.016564,            0.024019,           0.0079782,            0.001189,            0.001189,            0.001189
                  91,            0.017698,            0.042808,           0.0090365,             0.98331,             0.89205,             0.94534,             0.74223,            0.016924,             0.02417,           0.0078798,             0.00109,             0.00109,             0.00109
                  92,            0.018857,            0.040517,            0.010885,             0.97892,             0.90287,             0.94896,             0.77157,             0.01603,            0.023757,           0.0078329,            0.000991,            0.000991,            0.000991
                  93,            0.018014,            0.039795,           0.0090256,             0.98258,             0.88953,             0.95302,             0.74724,            0.016721,            0.024039,           0.0077265,            0.000892,            0.000892,            0.000892
                  94,            0.019167,            0.043814,            0.010815,             0.97964,             0.91313,              0.9659,             0.78134,            0.015955,            0.023691,           0.0076303,            0.000793,            0.000793,            0.000793
                  95,            0.018115,            0.041143,            0.010054,             0.95797,             0.92607,             0.96758,             0.78152,            0.015823,            0.023666,           0.0075548,            0.000694,            0.000694,            0.000694
                  96,            0.018406,            0.045438,            0.009883,              0.9578,             0.92874,             0.96907,             0.77543,            0.016128,            0.023787,           0.0075291,            0.000595,            0.000595,            0.000595
                  97,            0.017481,            0.033224,            0.010243,             0.97422,             0.90747,             0.97306,              0.7912,            0.015999,            0.023842,           0.0074696,            0.000496,            0.000496,            0.000496
                  98,            0.018213,            0.042727,            0.010034,             0.95741,             0.92838,              0.9774,             0.79913,            0.015776,            0.023641,           0.0074129,            0.000397,            0.000397,            0.000397
                  99,            0.019601,            0.044386,            0.011225,             0.96385,             0.92869,             0.97698,               0.794,            0.015787,             0.02356,           0.0073814,            0.000298,            0.000298,            0.000298
