               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.067639,            0.048272,            0.035816,             0.91948,             0.30312,             0.55305,             0.25082,            0.058666,            0.052084,            0.030693,             0.00505,             0.00505,             0.00505
                  52,            0.063911,            0.069493,            0.032791,             0.91948,             0.30312,             0.55305,             0.25082,            0.058666,            0.052084,            0.030693,            0.004951,            0.004951,            0.004951
                  53,            0.060907,            0.069677,             0.03174,             0.73647,             0.49396,              0.5668,             0.37941,            0.041662,            0.050237,            0.030295,            0.004852,            0.004852,            0.004852
                  54,            0.051111,            0.062086,            0.030298,             0.73647,             0.49396,              0.5668,             0.37941,            0.041662,            0.050237,            0.030295,            0.004753,            0.004753,            0.004753
                  55,            0.049501,            0.085612,            0.033229,             0.69487,             0.48677,             0.49754,             0.20469,            0.061318,            0.060156,            0.030034,            0.004654,            0.004654,            0.004654
                  56,             0.06371,            0.061622,            0.032855,             0.69487,             0.48677,             0.49754,             0.20469,            0.061318,            0.060156,            0.030034,            0.004555,            0.004555,            0.004555
                  57,            0.062879,            0.061457,            0.031811,             0.73528,              0.4372,             0.56362,             0.24722,            0.052933,            0.055121,            0.029837,            0.004456,            0.004456,            0.004456
                  58,            0.061918,            0.056235,             0.02842,             0.73528,              0.4372,             0.56362,             0.24722,            0.052933,            0.055121,            0.029837,            0.004357,            0.004357,            0.004357
                  59,            0.057053,            0.057403,             0.02994,             0.71044,             0.46869,             0.51143,             0.27186,            0.058457,            0.056957,            0.029041,            0.004258,            0.004258,            0.004258
                  60,            0.059603,            0.069601,            0.029051,             0.71044,             0.46869,             0.51143,             0.27186,            0.058457,            0.056957,            0.029041,            0.004159,            0.004159,            0.004159
                  61,            0.059184,            0.065974,            0.029985,             0.76843,                 0.5,             0.68954,              0.4599,            0.039021,            0.049178,            0.028542,             0.00406,             0.00406,             0.00406
                  62,            0.044522,            0.051225,            0.028382,             0.76843,                 0.5,             0.68954,              0.4599,            0.039021,            0.049178,            0.028542,            0.003961,            0.003961,            0.003961
                  63,            0.052058,              0.0743,            0.029345,             0.73523,                 0.5,             0.73599,             0.27627,            0.050637,            0.051882,            0.027873,            0.003862,            0.003862,            0.003862
                  64,               0.053,            0.098451,            0.030679,             0.73523,                 0.5,             0.73599,             0.27627,            0.050637,            0.051882,            0.027873,            0.003763,            0.003763,            0.003763
                  65,            0.053481,            0.063888,            0.031485,             0.77466,             0.55787,             0.79094,             0.50799,            0.036649,             0.04604,            0.027525,            0.003664,            0.003664,            0.003664
                  66,            0.041772,            0.041156,            0.035773,             0.77466,             0.55787,             0.79094,             0.50799,            0.036649,             0.04604,            0.027525,            0.003565,            0.003565,            0.003565
                  67,            0.050292,            0.062152,            0.027029,             0.70567,             0.56013,             0.77648,             0.38752,             0.04449,            0.047432,            0.026752,            0.003466,            0.003466,            0.003466
                  68,            0.047547,             0.05343,            0.031612,             0.70567,             0.56013,             0.77648,             0.38752,             0.04449,            0.047432,            0.026752,            0.003367,            0.003367,            0.003367
